member_name,top_keywords
αθανασιος μικρουτσικος,"ζι, κορκολοπουλ, εσταλ, παρολ, βυζαντιν, εντειν, μεταφερω, επικεφαλ, καλυπτετα, διαβεβαιως, ανελαβ, σεπτεμβρι, ετοιμ, πολιτισμ, μελετ, γνωριζετ, συνεχει, εργασι, βας, απαντης"
αθανασιος σκορδας,"γεμ, εκρο, εταιρικ, εισρο, δυσλειτουργι, διορισμ, μητρω, εποπτει, officio, ex, επιβραβευετ, εγκαταστας, εμπορικ, αντισταθμις, αρνουμαστ, δης, διαδικτυακ, μπειτ, πρατηρι, χρηματοδοτης"
αθανασιος τσαυταρης,"προκαταβολ, εοφ, αξιολογηθ, εγγυητικ, δανει, χαμηλοτοκ, προκει, σημαντικ, θιξατ, μεταποιητικ, καπ, ταμει, ανεβας, επιστολ, διακοσι, μειωσουμ, εφτας, εγκριθ, επτακοσι, ινστιτουτ"
αθανασιου ευθυμιου αθανασιος (νασος),"εργοδοτ, παντοτε, αιτιας, herald, international, tribune, ειρωνευομα, ειρωνευοντα, τιτλοφορης, εκδικης, επισυναπτετα, εκαν, περιφρον, περιφρονης, αμειβ, ειρωνει, ανεφερ, επεφερ, αισθητικ, υμ"
αθανασιου χριστοφα χαραλαμπος,"δραστ, κωδικ, φορα, κουκουλ, ναυτιλιακ, νησι, συμβιως, πλοι, εταιρι, ποινικ, συμφων, αναφερθω, τηρειτα, τιμωρησουμ, αργ, αναφερομα, 1358, σκουφ, ζητηματ, απαγορευετα"
αθανασοπουλος ανδρεα νικολαος,"απευθυνομα, μιλησω, ακουοντ, ωτ, βλεπω, απευθυνθηκ, λαβω, ανταποκρις, ροκοφυλλ, επιτραπ, περιμενω, δεχομα, δω, κινηματ, προσωπικ, μεταχειρις, προβλημ, βρηκ, ειδικ, θες"
αιβαλιωτης ιωαννη κωνσταντινος,"κορτινεζ, ευρωβουλ, εσχ, πεντελ, παρνηθ, δας, ποθ, βιοτοπ, γεωτεχνικ, εκτας, δασικ, εκθες, πανεπιστημι, γουλ, δεντροφυτευς, κουτσουρ, κατακαηκ, υμηττ, χονδροειδ, επιμελητηρι"
αιβατιδης γεωργιου ιωαννης,"νος, εγκαθιδρυς, υγει, παγκοσμι, κονγκ, φρονουμ, γραφει, οργανισμ, ανεξελεγκτ, υπερψηφισουμ, φαρμακευτικ, μεταναστευς, κινδυν, αυγ, εκδηλως, χρυς, dr, flu, αλμπερτ, ανακινηθηκ"
ακριβακης δημητριου αλεξανδρος,"δημοκρατι, ποινικ, εισαγγελε, χρηματιστηρι, ποντοπορ, κριν, προτας, ναυτιλι, νομοθετικ, πρωτοβουλι, ευθυν, αρχηγ, εξεταστικ, μητσοτακ, εισαγγελ, επενδυτικ, δικαιοσυν, κεφαλαι, δικαιωμ, αγορητ"
ακριωτης κυριακου γεωργιος,"παιδι, γεννιεσα, κληρονομειτα, ανηκουμ, ις, κτηνοτροφικ, γεννιουντα, δικαιωμ, δικαιωματ, ευρωπ, γνωμ, κτηνοτροφ, τραγουδ, κτηνοτροφι, γινεσα, ανισοτητ, αδει, χαρτογραφης, κατηγοριοποιης, ψηφιζ"
αλαβανος νικολαου αλεξανδρος,"υγει, νοσοκομει, κερδοφορ, γιατρ, φαρμακ, δημοσι, ευρωπαικ, siemens, προσωπικ, πρωθυπουργ, ελλαδ, επιχειρης, δαπαν, ενως, πουλησω, λιπ, νοσηλευτικ, περιθαλψ, προσβας, σημαιν"
αλεξανδρος χαριτσης,"ζαχαρ, εργοστασι, συμπερασματ, αναστραφηκ, τευτλοκαλλιεργ, τευτλοπαραγωγ, κομμα, διαπραγματευθηκαμ, βιομηχανι, ανοιξαμ, εκλειν, αντιστρεψουμ, 25, στρεμμ, διαχειριστουμ, διπλασιαστ, κληρονομησαμ, μανωλακ, πορει, πτωτικ"
αλεξοπουλος ιωαννη αποστολος,"νερ, υδατικ, δημοσι, ταμει, αξιοποιης, ευδαπ, ερευν, δικαιωματ, μεταβιβαστηκ, περιουσι, εκμεταλλευς, υδρογονανθρακ, μεταβιβαστ, διακοπ, απορρε, αγαθ, πανηγυρ, δραπετσων, πορ, μερικ"
αλευρας γεωργιου αθανασιος (νασος),"συνεδρι, ελεγκτικ, παρεδρ, αγων, overlays, πληροφορηθειτ, υπερβας, θεματ, φερ, θες, ολυμπιακ, καταστροφ, αποτιμης, πτυχι, εγκαιρως, θεωρειτ, νομικ, 2149, αναγραφηκ, εκτινασς"
αλογοσκουφης σπυριψων γεωργιος,"χρηματιστηρι, καρατζ, εσοδ, μελλοντικ, δανει, ον, φορολογικ, κοροιδευατ, χρ, μιλης, τραπεζ, ανατοκισμ, εισεπραξ, δημοσι, οικονομι, επιδομ, διαλογ, δανεισμ, θερμανς, ελληνικ"
αλφιερη αντωνιου στυλιανη (στελλα),"ρουμανικ, προσφυγ, συνταξ, συμβας, ενσημ, καθυστερης, ρουμανι, συνασπισμ, κυρως, προβληματ, καταβαλ, παραλειψ, ελληνικ, δος, 1509, επαναπατριζ, επαναπατρισθ, επαναπατρισθεντ, 1198, εργαστηκ"
αμανατιδης γεωργιου ιωαννης,"γενοκτονι, ποντιακ, ιστορικ, μνημ, μαζ, ποντι, διαφυλαξουμ, ομοσπονδι, πανεπιστημι, εορτασμ, επαναληφθ, κοιν, ελληνισμ, παψ, θεσσαλονικ, θυματ, αληθει, πανελληνι, κλεισω, εκδηλως"
αμμανατιδου-(πασχαλιδου) γεωργιου ευαγγελια (λιτσα),"εομμεχ, δασικ, αγροφυλακ, ιτσακ, υπηρεσι, δασοπροστασι, ιγμ, συνεταιρισμ, μικρ, γεωτε, δασοφυλακ, καταργηθεις, οασπ, καθηκοντ, νεοτητ, επιχειρης, διαχειρις, συγχωνευς, ελκ, οργανισμ"
αμοιριδης παναγιωτη ιωαννης,"ψαχν, δος, χαρ, προσφυγ, ακολουθ, αιτιολογικ, πολιτ, καταλαβαινω, συνειδης, προσεγγις, επιμεριζετα, υπερασπιστειτ, ομιλητ, 11, τηρηθηκ, σαραντα, διαβαζετ, πανευρωπαικ, συναδ, υπηρετουμ"
αμυρας στυλιανου γεωργιος,"τσακαλωτ, 2060, κευνς, λιτοτητ, kέυνς, eurogroup, 2018, επιστολ, μαξιμ, υφες, κυριακ, μετρ, συμπερασμ, τηλεφωνικ, πλεονασματ, ονειρ, πανηγυρι, ελαφρυνς, μειωθ, μνημονι"
αναγνωστοπουλος γεωργιου θεοδωρος,"συμμεριζομα, γνωριζετ, ακριτιδ, ταμιευτηρι, ταχυδρομικ, σιδηροδρομ, προανακριτικ, σχολιασω, πειραιως, αεροπορι, εγγραφ, κουβελ, αποψ, εισθ, αθην, ψηφιζ, τον, 1246, αμφιβαλλετ, καταπονω"
αναγνωστοπουλου πετρου αθανασια (σια),"αρες, 4009, προεπιλογ, προωθητικ, ιδρυματ, ντρεπομαστ, ανηκουμ, ερεισμ, καταργησαμ, πρυταν, ιδεολογι, συμβουλι, ευτυχως, 2011, πανεπιστημιακ, χας, κοινοτητ, περιεχ, αρμοδιοτητ, ρολ"
αναστασια χριστοδουλοπουλου,"φιλοξενι, προσφυγ, 2014, βαρκουλ, αμυγδαλεζ, καταφανως, στερι, δομ, συρι, δημιουργης, υποσχεθ, ρο, ασυλ, ελλειψ, υποβαλ, μεταναστ, αποφασιζω, τρυπαν, βγηκαμ, δακτυλικ"
αναστασιαδης ιωαννη σαββας,"ινστιτουτ, μεταβυζαντιν, δρας, βυζαντιν, σκοπ, βενετι, ιδρυτ, αλως, πρισμ, επιστημονικ, ελεγχ, φερνετ, εξωτερικ, λογικ, διαφανει, προτεινουμ, εργ, εκαστοτ, ενισχυ, σπουδ"
αναστασιος πετροπουλος,"εφαπαξ, γιακουματ, δικηγορ, χορηγους, αποδεχεστ, δεκατρ, πειραι, εφαρμοστηκ, διαθεσιμ, 2013, χορηγης, sfτ, εκλαβω, συναγω, υποσημει, υποφερετ, εντονως, χαρακοπουλ, αποχωρους, ατοπ"
ανδρεαδακη ηλια αναστασια,"οικολογ, εναλλακτικ, αλλοτριων, βολαν, λοταρι, λοττ, τζογαδορ, φειγ, συνειδης, ζηταμ, αδηφαγ, αξιοπεριεργ, ευρεσιτεχνι, εφευρ, νεοπλουτισμ, επιστησω, θεαματ, σκεφθηκατ, σουμε, παντως"
ανδρεουλακος γεωργιου αποστολος,"φυλακ, ποιν, φυλακις, κεπ, συζευξ, δημοσι, κοινωνι, αυτεπαγγελτ, καθειρξ, εγκληματικ, θεσμ, υπηρεσι, σωφρονιστικ, αδικοπραγησαντ, βγεστ, συμβασιουχ, εγκληματικοτητ, πολιτ, αντεγκληματικ, χαρτι"
ανδριανοπουλος ιωαννη ανδρεας,"εκκαθαρις, πληθωρισμ, αποτιμης, τυφλ, πωλης, ελαιων, εκατ, εξηγης, εισπραξουμ, τιμ, χρηματοοικονομικ, καταναλωτ, σκυλλακ, αγορ, ξαρχ, εφορι, πυρκαι, απελευθερων, 200, κατετεθ"
ανδριανος σωτηριου ιωαννης,"εργ, μεθοδευς, φερν, εργατοτεχνιτ, ναυπλι, φρουρι, εργασι, επισκεπτ, εγκυκλι, αδιαφανει, εσπα, σχετικ, συντηρης, πολιτιστικ, συνεχιστ, 2015, 2790000, αναψυκτηρι, βραχυκυκλωμ, δημοσιολογιστικ"
ανδρουλακης γρηγοριου δημητριος (μιμης),"ευρωπ, αστυνομικ, κυμ, τυφλ, ξεν, μεταναστευτικ, στεν, αρχισετ, ατζεντ, συμφωνι, αλβανι, δικαιωματ, σενγκ, μεταναστευς, συνταξ, εργοδοτ, ανεπτυγ, ικ, ελλαδ, αστυνομι"
ανθοπουλος ευσταθιου ιωαννης,"ηλεκτρικ, ενεργει, παιδει, αγρινι, παραγωγ, ρυθμις, εκπαιδευτικ, εκπαιδευς, αερι, λυκει, πανεπιστημι, τριτοβαθμι, χαλκιδ, λειτουργης, φυσικ, ορισμ, θες, αποφας, μοναδ, γεωθερμικ"
ανουσακη ευαγγελου ελενη-ηλεκτρα,"θεατρ, καλλιτεχνικ, αλικ, πνευματικ, δεσμευτουμ, δεσμευτειτ, ηθοποι, μελιν, καλλιτεχν, παλλ, πικρ, ονομ, δικαιωματ, συγγεν, ευαισθησι, ερτ, αφτι, βεργ, δεσμευεσθ, διεκδικησω"
αντωνακοπουλος γεωργιου παναγιωτης,"αυτοδιοικης, πασοκ, αυτοδιοικητικ, πολιτ, αρμοδιοτητ, εκλεγοντα, συγκεντρωτισμ, πραγματι, κοινωνικ, 81, συγκεντρωτικ, πας, τοπικ, 74, κληρως, δημαρχ, εκκλησι, παρεμβαιν, δουμ, διαφανει"
αντωνιος μανιτακης,"περιοριστω, υπολογ, πειθαρχικ, ζητημ, επιτρεψετ, απαντησω, επιτρεπ, αμεσως, υπευθυν, υπαλληλ, δημοσι"
αντωνιου αθανασιου χρηστος,"νοικοκυρι, κοκκιν, ρυθμις, κατσελ, δανειοληπτ, δανει, προστασι, μεσαι, φτωχ, συνολ, αποδεσμευθ, καταιν, κατοικι, υποχρεως, αδυνατ, 36000, εντοπιστ, πισωγυρισματ, καλυπτ, εισοδηματ"
αντωνιου νικολαου αντωνια (τονια),"οδικ, ασφαλει, πεταλ, μαλιακ, νεκρ, οχηματ, χρονοδιαγραμματ, ελεγχ, φθιωτιδ, εργ, δυστυχημ, στοχ, μηδενικ, απορροφης, δυστυχως, τραγικ, ακουσαμ, ζησαμ, 2004, προγραμμ"
ανωμεριτης δημητριου γεωργιος,"ναυλ, δρομολογι, εγγυητικ, πλοι, επιστολ, μαθηματικ, οχηματαγωγ, καταργειτα, υπουργικ, επιβατικ, ερμην, φεραμ, θεματ, ευκολ, στηριξουμ, τυπ, αυξηθηκ, δασικ, 2002, απλως"
απατζιδη κυριλλου μαρια,"fraport, αεροδρομι, αναστολ, aegean, παιγνι, αναβαθμις, εσοδ, τυχερ, απωλει, οφειλ, επιλυ, κρατικ, ευρωπαικ, σχολει, επιχειρης, προκυπτ, ξεπερν, εργ, ευλογ, μετρ"
αποστολακης εμμανουηλ δημητριος,"αποστρατ, πλησιαζ, 55ο, 17, 2657, 167, αποστρατει, αντιρρης, αντικει, ανωδυν, επιτελικ, θυμιζ, αιτιας, επιμορφως, φωτογραφικ, ανευ, ενως, συμβουλι, δεχομα, ρυθμιζ"
αποστολακος γεωργιου γρηγοριος,"δημοψηφισμ, 44, ελληνικ, εκτελεστικ, δημοψηφισματ, περασετ, δημοψηφισματικ, λα, τηρ, ισχυριζοτ, 1976, μειζ, 350, φερετ, εθνικ, εφαρμοστικ, πρωτοβουλι, στηριζ, ακουσατ, συνταγματικ"
αποστολατος σπυριδωνα βαιτσης,"κωνσταντιν, κιλτιδ, αγορητ, αθανασι, καλλικρατ, απολογειτα, οριστηκ, χρηστ, 2012, κομμουνιστικ, ζωιδ, μεσοπροθεσμ, σαββ, 2011, στρατηγικ, καραθανασοπουλ, παντουλ, σταικουρ, οριζετα, χαλβατζ"
αποστολιδης θωμα λουκας,"αντικαρκινικ, γυμνασι, ιρακ, ογκολογικ, μειονοτικ, κληρως, σγουριδ, παθοντ, νοσοκομει, μεταξ, μαθητ, εθνικ, κομοτην, εφημερι, κεφαλογιανν, διαδικασι, 24ωρης, μουσταφ, πυραυλικ, κρις"
αποστολου δημητριου ευαγγελος,"αγροτικ, σφαγ, σφαγει, οντως, αγροτεμαχι, αμπελουργικ, βιντζοτρατ, καταρροικ, οροτυπ, πυρετ, κληρονομ, κτηνιατρ, πληρωμ, αμπελοκαλλιεργει, ταυτοποιηθηκ, αλιει, ενισχυς, αλιευς, κληρονομι, αναπτυξ"
αραβανης ιωαννη γερασιμος,"τμηματ, αξιολογικ, εκφρασαμ, μονιμοτητ, παναγοπουλ, ιδρυς, πανεπιστημι, διευθυντ, μονιμοποιης, καινουρι, αναγκ, θητει, μπρισιμι, κριτηρι, μοναδ, 1000000, παντει, φυλακ, ανακριτ, κριθ"
αραμπατζη αθανασιου φωτεινη,"1987, επαγγελματικ, 1948, ασφαλιστικ, επαγγελματι, γεννηθεντ, σαραντα, ενημεροτητ, αγροτ, ασφαλις, ογ, κτηνοτροφ, εισφορ, λογω, ομαδ, εργασι, ποιν, ισχυ, εμποροπανηγυρ, υποχρεως"
αραπη-καραγιαννη σωτηριου βασιλικη,"κεραι, γκυζ, συμφωνικ, κατοικη, ορχηστρ, απομακρυνθ, κατοικ, panafon, εγωενω, ενωνοντα, ηλεκτολογ, μαζωξ, τουσκεραι, τσακαλωφ, γνωριζω, αναμεταδοτ, ηλεκτρομαγνητικ, καθηγητρι, λευχαιμι, μηχανολογ"
αραπογλου ανεστη χρυση,"μεταναστ, μεταναστευτικ, στοιχει, βακτριαν, νομοθετικ, ζητηματ, αφορμ, μεριμν, διαλογ, νακ, κατανοησουμ, αγγιζ, υπερηφαν, 2005, περιπ, γενι, ανασκαπτ, βικτωρ, εξωθηθ, καλωσορις"
αραπογλου διαμαντη δημητρα,"τεχνολογι, ερευν, κωφ, παραδειγμ, εκπαιδευς, περιβαλλον, μηχανημ, υποστηριχθ, τελευται, ελλαδ, ηλεκτρονικ, εισαγωγ, ειδικευ, γενικ, γνως, ενεργει, καινοτομι, υπολογιστ, τροπ, καυσιμ"
αραχωβιτης γεωργιου σταυρος,"ελαιοπαραγωγ, αγοραστικ, ελαιοκαλλιεργει, ελαιοκαλλιεργητ, εισοδημ, βρωσιμ, καυσων, ελαιοπαραγωγικ, πς, μει, ελι, ελαιολαδ, καταλαβαινετ, πιεζ, χογκ, περιμενουμ, κορυφως, παρακολουθουντα, πασιφαν, συμπιεστ"
αρβανιτης-αβραμης κωνσταντινου μιχαηλ,"απαξιωνετα, φων, προδιδετα, επιχειρηματ, πατριωτ, κλεφτ, απατεων, προδοτ, αποδειξω, πατριωτικ, υποφερ, ψυχ, λα, περιστατικ, εκφραζ, περαιτερω, οκτω, λογι, κανατ, τριαντα"
αρβανιτιδης πετρου γεωργιος,"εισοδημ, ανακουφις, επενδυς, επενδυτ, ολοκληρως, ενδιαμες, πλουτ, προγραμμ, δημιουργησουμ, επενδυτικ, πολιτ, παραγαγουμ, εργ, πιστοποιη, οικογεν, διαγραφ, ελληνικ, προγραμματ, αναπτυξ, επαληθευς"
αργυρης ιωαννη ευαγγελος,"παραγωγ, διεπαγγελματικ, οργανως, ελαιολαδ, αποφας, θεσμ, προιον, αγροτ, πληρωμ, προιοντ, γεωργι, αποζημιως, προγραμμ, κοκκινουλ, δικαιουχ, δραχμ, νε, πανωτοκι, εικοσι, αποδυναμωσουμ"
αρσενης διονυσιου γερασιμος,"εκπαιδευτικ, τραπεζ, ανωτατοποιης, εθνικ, σπουδ, εκπαιδευς, παιδει, πανεπιστημι, ανω, 2083, εκδοχ, επιπεδ, στατικ, ελλαδ, μεταρρυθμις, οικονομικ, αγορ, ομολογ, μετοχ, μοναδ"
ασημακης παπαγεωργιου,"kwh, τιμολογι, καταναλως, ορι, πλεον, ειδικ, εκπτως, μεσοσταθμικ, 1500, τεκν, δυνατοτητ, τροποποιης, εισοδηματικ, ηλεκτρικ, ταυτοχρον, αυξηθηκ, οπου, εναλλακτικ, 4070, cng"
ασημακοπουλου δημητριου σοφια-χαιδω,"γεννης, δημογραφικ, υπογεννητικοτητ, οικογενει, οικογεν, ανατροφ, μητροτητ, ελληνικ, αλλοιως, στηριξ, εθνικ, κρισιμ, ελλην, οικογενειακ, επιδομ, δεικτ, γηγεν, εθνολογικ, κατακερματιζετ, καταποντιζετ"
ασημακοπουλου παναγιωτη αννα-μισελ,"επιθυμειτ, υποχρεως, ξεκινω, επισημως, ενδιαφερ, αιτημ, 20ης, smp, βραχυμεσοπροθεσμ, εναπομεινας, απριλι, δουλευω, μαθαινω, αποψιν, προυπολογιζετα, συμπληρωσετ, σχολιασετ, kαι, αναποδραστ, κει"
αστεριος πιτσιορλας,"επιφυλαχθουμ, ετοιμαζετα, αποφας, επικοινωνης, επανελθουμ, οικονομικ, ασχολουντα, αναγκαστικ, πρω, αναστολ, συνεννοης, χρειαστ, ενημερως, νομοθετικ, συνολικ, χρειαζετα, δουμ, μαζ, υπαρξ, ρυθμις"
αυγενακης κωνσταντινου ελευθεριος,"αθλητισμ, αθλητικ, ολυμπιονικ, ομοσπονδι, αγων, αθλητ, συνταξ, χειραγωγης, πληγεντ, νε, φιλαθλ, βι, προσυνεννο, γηπεδ, αμες, προβληματ, πυροπληκτ, λιγκ, ολυμπιακ, περιοχ"
αυδης βασιλειου λεωνιδας (λεων),"επεξεργασι, προσωπικ, προσωπικοτητ, στοιχει, ζω, προσωπ, ευαισθητ, στοιχ, δημοσιογραφι, καταγραφ, φακελ, απορρητ, δεδ, πληροφορι, αρχει, συγκροτηματ, αρχ, νομικ, δρας, προστασι"
αυλωνιτης νικολαου αλεξανδρος-χρηστος,"εφετ, εφετει, δικαστ, εισαγγελ, προεδρευ, ογδοντα, εβδομηντα, ις, συγχυζω, συμβουλευθω, τριακοσι, πανι, βαρκ, ιεραρχικ, παιδαριωδ, υποπτευομα, ατακ, αρχιζω, υποβαλλω, αφαιρεσουμ"
αχμετ σαμπρη ιλχαν,"αρριαν, κινητικοτητ, δημ, γραφει, τακτικ, μελετητικ, ξεκαθαρ, προσληψ, μελετ, προσωπικ, προβλημ, λυθ, λυς, εργ, δεσμευς, κλεισατ, λιμναζ, οκταμην, site, προτιθεστ"
βαγενα-κηλαηδονη γεωργιου αννα,"μεταξουργει, παιζετα, τουριστ, προδοσι, ρημαγ, αθην, εσχατ, γειτονι, περπατηστ, εντιμ, γκετοποιης, κεραμεικ, φυγαν, εβγαλ, ποδι, γκετο, κοσμ, εκρηξ, ζω, σαν"
βαγιωνας κωνσταντινου γεωργιος,"θεσμ, λασπολογης, μαινταν, κουρελοχαρτ, υπεραρκετ, τηλεθεας, ευρισκ, διαφωνησω, επιγνως, καναλ, γεματ, τειχ, τοποθετηθω, κοινοβουλι, προσβαλλ, χρησιμοποιησω, προσκλης, αληθ, καναλι, συμβολ"
βαθειας κωνσταντινου ιωαννης,"εξαντλησαμ, εκτιμω, ικανοποι, ουτως, δωσατ, αναλυς, περιθωρι, κατοικ, απολυτ, απαραιτητ, περιοχ"
βαινας βασιλειου ιωαννης,"εξυπηρετης, μεταφερθ, αυτοδιοικης, προτεινω, κεντρ, ανηκ, αντιμετωπιστηκ, κουβεντιας, πολιτ, απευθυνθω, διατηρ, μακεδονι, νομαρχιακ, δυτικ, αττικ, περιφερ, παροντ, λειτουργικ, αντιμετωπισουμ, τελειων"
βακη γεωργιου φωτεινη,"παστερ, ινστιτουτ, υγει, συμβας, ερευν, θεωρι, δημοσι, εποπτει, ευρωζων, εμβολι, νοσηματ, τζαβαρ, ελληνικ, σπανι, ανακυκλωσιμ, κουτεντακ, θες, ιδρυς, βουλης, ερευνητικ"
βαλαβανη γεωργιου ολγα-ναντια,"αεροδρομι, πτης, αερομεταφορ, lufthansa, ιδιωτικοποιης, ταιπεδ, brand, αρχ, ιδιωτικ, name, slots, αεροπορι, συντονισμ, 2007, συνενων, eurobank, δημοσι, aegean, θυγατρικ, ολυμπιακ"
βαλβης-κατσιπης γεωργιου πετρος,"δηλωνω, δεσμευομα, απεναντι, πτωμ, αστραπ, ασκησω, ουραν, φοβατα, δηλ, αντιπροεδρ, συγκρους, ενστας, διωξ, εναντιον, ποινικ, εξ, ηρθ, καθαρ, παιδι, δικαιοσυν"
βαληνακης γεωργιου ιωαννης,"παρεκτροπ, θρακ, μειονοτικ, μειονοτητ, τουρκικ, πολιτει, επιδιωκ, αυτοκλητ, ακυρωνετα, προοδευ, ελληνικ, επιδεχετα, φοβικ, καθημεριν, ευρωπαικ, σχεδιαστ, απτ, μουσουλμανικ, παρατηρουντα, πολλω"
βαρβιτσιωτης ιωαννη μιλτιαδης,"καραβι, ακτοπλοι, διαφημις, μονοπωλι, κουμαντ, επιστροφ, ναυτιλι, ανταγωνισμ, καραβ, ας, νης, τηλεοπτικ, εφοπλιστ, καθεστω, προστιμ, μπορειτ, νησιωτ, εμπαιν, παπουτς, δρομολογης"
βαρβιτσιωτης μιλτιαδη ιωαννης,"μουσει, μυστρ, επαναφερατ, αεροπορι, αυτοπροστασι, αεροπορικ, στρατευς, καταληξ, επιπολαι, προτας, αεροπλαν, περιβαλλοντ, αποψ, ανακεκλημ, στρατευετα, ηλικι, ακουσθ, αποστρατευθηκ, ανακτορ, αναστηλως"
βαρδαλης δημητριου αθανασιος,"συγκλις, αιγιαλ, θαλασς, αναπτυξ, κκε, αντιπαρατεθειτ, συνυποσχετικ, ζητηματ, καταλαβαινετ, ασιατικ, παιρνετα, βηματ, υπηρετ, συμφωνουμ, διοδ, χαιροντα, κατεβας, αρχισαμ, νομοθετειτ, στουρναρ"
βαρδαρινος αθανασιου βασιλειος,"γεννηματ, αυτοδιοικης, νομαρχιακ, δημαρχ, τοπικ, λουλ, ομοφων, υγει, παπαιωανν, συμβουλι, απουσιαζ, πασοκ, δημοκρατι, πηγ, εκατ, εκαν, δημ, προτας, προδιαγραφ, αποφας"
βαρεμενος βασιλειου γεωργιος,"νοεμβρι, γατ, συριζα, 2017, παρασκευ, φται, δικαιοσυν, συμφωνησουμ, μαυρ, εξωτερικ, συνολ, 4270, 817, 845, βογκηξ, επεξηγησετ, ευκαιρ, ευρισκομ, ευφροσυν, καταπικρ"
βαρουφακης γεωργιου γιανης,"κακεντρεχει, μεταφερθηκ, δηλως, διαστρεβλωθηκ, χλευαστηκ, κυβερνηθ, χλευ, αποκλιν, τροπ, βοριδ, ζητημ, βρειτ, παρακαλεσω, ημ, επικοινωνι, κλεινω, συμφερ, εξ, αναφερθηκ, βλεπ"
βασιλειαδης παυλου ιωαννης,"αστυνομι, συνδικαλισμ, προβληματ, βιασυν, αφηστ, αποδοτικ, φανερ, εκαθαρις, ξαναβρ, προκαλουμεθ, σεισμικ, συνεταραξ, κυριαρχ, λυς, καταστροφ, ανυπομον, παθουμ, τραυματ, φτερ, βλαψ"
βασιλειος κοντοζαμανης,"κλιν, κορωνοι, νοσοκομει, εντατικ, νοσηλει, θεραπει, υγει, αξον, ιδιωτικ, περιστατικ, υγειονομικ, μεθ, ιδεοληψι, νομικ, προσωπ, σχεδιασμ, δικαι, κατηγοριοποιης, χρης, μοναδ"
