member_name,top_keywords
ακριβακης δημητριου αλεξανδρος,"δημοκρατι, ποινικ, εισαγγελε, χρηματιστηρι, ποντοπορ, κριν, προτας, εξεταστικ, ναυτιλι, νομοθετικ, ευθυν, πρωτοβουλι, αρχηγ, μητσοτακ, εισαγγελ, επενδυτικ, δικαιοσυν, κεφαλαι, δικαιωμ, αποδιδ"
ακριτιδης βασιλειου νικολαος,"περιλαμβαν, συμφωνουμ, μπορειτ"
ακριωτης κυριακου γεωργιος,"παιδι, γεννιεσα, κληρονομειτα, ανηκουμ, ις, κτηνοτροφικ, γεννιουντα, δικαιωμ, δικαιωματ, ευρωπ, γνωμ, κτηνοτροφ, τραγουδ, κτηνοτροφι, γινεσα, ανισοτητ, αδει, χαρτογραφης, ψηφιζ, κατηγοριοποιης"
αλαβανος νικολαου αλεξανδρος,"υγει, νοσοκομει, κερδοφορ, γιατρ, δημοσι, φαρμακ, ευρωπαικ, πρωθυπουργ, προσωπικ, siemens, μεγαλ, ελλαδ, επιχειρης, ενως, δαπαν, πουλησω, νοσηλευτικ, περιθαλψ, λιπ, προσβας"
αλεξανδρος χαριτσης,"ζαχαρ, εργοστασι, συμπερασματ, αναστραφηκ, τευτλοκαλλιεργ, τευτλοπαραγωγ, κομμα, βιομηχανι, διαπραγματευθηκαμ, πρωτ, εκλειν, ανοιξαμ, αντιστρεψουμ, 25, στρεμμ, διαχειριστουμ, διπλασιαστ, κληρονομησαμ, πορει, πτωτικ"
αλεξοπουλος ιωαννη αποστολος,"νερ, υδατικ, δημοσι, ταμει, αξιοποιης, ευδαπ, ερευν, δικαιωματ, μεταβιβαστηκ, περιουσι, εκμεταλλευς, υδρογονανθρακ, μεταβιβαστ, απορρε, αγαθ, διακοπ, πανηγυρ, πορ, μερικ, δραπετσων"
αλευρας γεωργιου αθανασιος (νασος),"συνεδρι, ελεγκτικ, παρεδρ, αγων, overlays, πληροφορηθειτ, υπερβας, θεματ, θες, φερ, ολυμπιακ, καταστροφ, αποτιμης, πτυχι, εγκαιρως, θεωρειτ, νομικ, 2149, αναγραφηκ, εκτινασς"
αλογοσκουφης σπυριψων γεωργιος,"χρηματιστηρι, εσοδ, καρατζ, μελλοντικ, δανει, φορολογικ, ον, τραπεζ, πολιτικ, χρ, κοροιδευατ, δημοσι, μιλης, οικονομι, ανατοκισμ, εισεπραξ, επιδομ, διαλογ, ελληνικ, δανεισμ"
αλφιερη αντωνιου στυλιανη (στελλα),"ρουμανικ, προσφυγ, συνταξ, συμβας, ενσημ, καθυστερης, ρουμανι, συνασπισμ, προβληματ, κυρως, πολιτικ, καταβαλ, ελληνικ, παραλειψ, δος, 1509, επαναπατριζ, επαναπατρισθ, διαψευδετ, επαναπατρισθεντ"
αμανατιδης γεωργιου ιωαννης,"γενοκτονι, ποντιακ, ιστορικ, μνημ, μαζ, ποντι, διαφυλαξουμ, ομοσπονδι, πανεπιστημι, εορτασμ, επαναληφθ, κοιν, ελληνισμ, παψ, θεσσαλονικ, θυματ, αληθει, πανελληνι, κλεισω, εκδηλως"
αμμανατιδου-(πασχαλιδου) γεωργιου ευαγγελια (λιτσα),"εομμεχ, δασικ, αγροφυλακ, ιτσακ, υπηρεσι, δασοπροστασι, ιγμ, συνεταιρισμ, μικρ, καθηκοντ, γεωτε, δασοφυλακ, καταργηθεις, οασπ, επιχειρης, νεοτητ, διαχειρις, συγχωνευς, ελκ, οργανισμ"
αμοιριδης παναγιωτη ιωαννης,"ψαχν, δος, χαρ, προσφυγ, ακολουθ, αιτιολογικ, πολιτ, καταλαβαινω, συνειδης, προσεγγις, επιμεριζετα, καταχραστ, 11, ομιλητ, τηρηθηκ, υπερασπιστειτ, σαραντα, διαβαζετ, πανευρωπαικ, συναδ"
αμυρας στυλιανου γεωργιος,"τσακαλωτ, 2060, κευνς, λιτοτητ, kέυνς, eurogroup, 2018, επιστολ, μαξιμ, υφες, μετρ, κυριακ, συμπερασμ, τηλεφωνικ, πλεονασματ, μις, ονειρ, ελαφρυνς, πανηγυρι, μειωθ"
αναγνωστοπουλος γεωργιου θεοδωρος,"συμμεριζομα, τελειωνετ, κορακ, γνωριζετ, συντομευετ, αδαμοπουλ, γαλαν, ακριτιδ, ταμιευτηρι, ταχυδρομικ, σιδηροδρομ, προανακριτικ, σχολιασω, πειραιως, 37, δευτερολογι, σιουφ, εγγραφ, αεροπορι, αποψ"
αναγνωστοπουλου πετρου αθανασια (σια),"αρες, 4009, προεπιλογ, προωθητικ, ιδρυματ, ντρεπομαστ, ανηκουμ, ερεισμ, καταργησαμ, ιδεολογι, καταλαβατ, πρυταν, συμβουλι, ευτυχως, λειπ, 2011, πανεπιστημιακ, χας, κοινοτητ, περιεχ"
αναστασια χριστοδουλοπουλου,"φιλοξενι, προσφυγ, 2014, βαρκουλ, αμυγδαλεζ, καταφανως, στερι, δομ, συρι, δημιουργης, υποσχεθ, ασυλ, ρο, ελλειψ, υποβαλ, μεταναστ, αποφασιζω, τρυπαν, βγηκαμ, δακτυλικ"
αναστασιαδης ιωαννη σαββας,"ινστιτουτ, μεταβυζαντιν, δρας, βυζαντιν, σκοπ, βενετι, ιδρυτ, αλως, επιστημονικ, πρισμ, ελεγχ, φερνετ, εξωτερικ, λογικ, διαφανει, εργ, προτεινουμ, εκαστοτ, ενισχυ, σπουδ"
αναστασιος πετροπουλος,"εφαπαξ, γιακουματ, δικηγορ, χορηγους, αποδεχεστ, ος, δεκατρ, πειραι, διαθεσιμ, εφαρμοστηκ, 2013, χορηγης, sfτ, εκλαβω, συναγω, υποσημει, υποφερετ, εντονως, ετουτ, αποχωρους"
αναστασοπουλος δημητριου νικολαος,"δεχομα, προσθηκ, ακους"
ανδρεαδακη ηλια αναστασια,"οικολογ, εναλλακτικ, συνειδης, αλλοτριων, βολαν, λοταρι, λοττ, τζογαδορ, φειγ, ζηταμ, αδηφαγ, αξιοπεριεργ, ευρεσιτεχνι, εφευρ, νεοπλουτισμ, επιστησω, θεαματ, σκεφθηκατ, σουμε, παντως"
ανδρεουλακος γεωργιου αποστολος,"φυλακ, ποιν, φυλακις, κεπ, συζευξ, δημοσι, κοινωνι, αυτεπαγγελτ, καθειρξ, εγκληματικ, θεσμ, υπηρεσι, σωφρονιστικ, συμβασιουχ, αδικοπραγησαντ, βγεστ, εγκληματικοτητ, πολιτ, αντεγκληματικ, χαρτι"
ανδριανοπουλος ιωαννη ανδρεας,"εκκαθαρις, πληθωρισμ, αποτιμης, τυφλ, πωλης, ελαιων, εκατ, τιμ, εξηγης, εισπραξουμ, χρηματοοικονομικ, καταναλωτ, αγορ, σκυλλακ, εφορι, ξαρχ, πυρκαι, απελευθερων, 200, κατετεθ"
ανδριανος σωτηριου ιωαννης,"εργ, μεθοδευς, φερν, εργατοτεχνιτ, ναυπλι, φρουρι, εργασι, επισκεπτ, εγκυκλι, αδιαφανει, σχετικ, εσπα, συντηρης, πολιτιστικ, 2015, 2790000, αναψυκτηρι, βραχυκυκλωμ, δημοσιολογιστικ, ικριωματ"
ανδρουλακης γρηγοριου δημητριος (μιμης),"ευρωπ, αστυνομικ, κυμ, πολιτικ, τυφλ, ξεν, μεταναστευτικ, στεν, αρχισετ, συμφωνι, ατζεντ, αλβανι, δικαιωματ, σενγκ, μεταναστευς, συνταξ, εργοδοτ, ελλαδ, ανεπτυγ, ικ"
ανθοπουλος ευσταθιου ιωαννης,"ηλεκτρικ, ενεργει, παιδει, αγρινι, παραγωγ, ρυθμις, εκπαιδευτικ, εκπαιδευς, αερι, λυκει, πανεπιστημι, τριτοβαθμι, χαλκιδ, λειτουργης, θες, φυσικ, ορισμ, αποφας, μοναδ, γεωθερμικ"
ανουσακη ευαγγελου ελενη-ηλεκτρα,"θεατρ, καλλιτεχνικ, αλικ, πνευματικ, δεσμευτουμ, δεσμευτειτ, ηθοποι, μελιν, καλλιτεχν, πικρ, παλλ, ονομ, δικαιωματ, συγγεν, ευαισθησι, ερτ, αφτι, βεργ, δεσμευεσθ, διεκδικησω"
αντωνακοπουλος γεωργιου παναγιωτης,"αυτοδιοικης, πασοκ, αυτοδιοικητικ, πολιτ, αρμοδιοτητ, πραγματι, κοινωνικ, εκλεγοντα, συγκεντρωτισμ, πολιτικ, 81, πας, τοπικ, συγκεντρωτικ, κληρως, δημαρχ, 74, εκκλησι, αρα, παρεμβαιν"
αντωνιαδης δημητριου ιωαννης,"απαντα, τελειωσουμ, μιλα, προβλεπετα"
αντωνιος μανιτακης,"περιοριστω, υπολογ, πειθαρχικ, ζητημ, επιτρεψετ, επιτρεπ, απαντησω, αμεσως, υπευθυν, υπαλληλ, καμμι, σχες, δημοσι"
αντωνιος ρουπακιωτης,απεσυρθ
αντωνιου αθανασιου χρηστος,"νοικοκυρι, κοκκιν, ρυθμις, κατσελ, δανειοληπτ, δανει, προστασι, μεσαι, φτωχ, συνολ, υποχρεως, κατοικι, αποδεσμευθ, καταιν, αδυνατ, 36000, καλυπτ, εντοπιστ, πισωγυρισματ, εισοδηματ"
αντωνιου βασιλειου μαρια,"μπαλαδορ, πας"
αντωνιου νικολαου αντωνια (τονια),"οδικ, ασφαλει, πεταλ, μαλιακ, νεκρ, οχηματ, ελεγχ, χρονοδιαγραμματ, φθιωτιδ, εργ, στοχ, δυστυχημ, μηδενικ, απορροφης, δυστυχως, τραγικ, ακουσαμ, ζησαμ, προγραμμ, 2004"
ανωμεριτης δημητριου γεωργιος,"ναυλ, δρομολογι, εγγυητικ, πλοι, επιστολ, μαθηματικ, οχηματαγωγ, καταργειτα, υπουργικ, επιβατικ, ερμην, θεματ, φεραμ, ευκολ, τυπ, στηριξουμ, αυξηθηκ, δασικ, 2002, απλως"
απατζιδη κυριλλου μαρια,"fraport, αεροδρομι, αναστολ, aegean, παιγνι, αναβαθμις, εσοδ, απωλει, οφειλ, τυχερ, ευρωπαικ, κρατικ, επιλυ, σχολει, επιχειρης, προκυπτ, εργ, ξεπερν, μετρ, ευλογ"
αποστολακη γεωργιου ελενη-μαρια (μιλενα),γυναικ
αποστολακης εμμανουηλ δημητριος,"αποστρατ, πλησιαζ, 55ο, 17, 2657, 167, αποστρατει, αντιρρης, αντικει, ανωδυν, επιτελικ, θυμιζ, αιτιας, επιμορφως, φωτογραφικ, ενως, συμβουλι, ανευ, δεχομα, ρυθμιζ"
αποστολακος γεωργιου γρηγοριος,"δημοψηφισμ, 44, ελληνικ, εκτελεστικ, δημοψηφισματ, περασετ, λα, δημοψηφισματικ, τηρ, ισχυριζοτ, 1976, μειζ, εθνικ, 350, φερετ, εφαρμοστικ, πρωτοβουλι, στηριζ, συνταγματικ, πασοκ"
αποστολατος σπυριδωνα βαιτσης,"κωνσταντιν, αγορητ, αθανασι, κιλτιδ, καλλικρατ, απολογειτα, οριστηκ, χρηστ, κομμουνιστικ, μιχαηλ, 2012, κουτρουμαν, μεσοπροθεσμ, ζωιδ, δημητρι, ολοκληρωστ, σαββ, γεωργι, στρατηγικ, 2011"
αποστολιδης θωμα λουκας,"αντικαρκινικ, γυμνασι, ιρακ, ογκολογικ, μειονοτικ, κληρως, τζωανν, σγουριδ, αραπ, παθοντ, εθνικ, δραγασακ, νοσοκομει, μαθητ, μεταξ, διαδικασι, ολοκληρωστ, σφυρι, προεδρει, κομοτην"
αποστολου δημητριου ευαγγελος,"συγκεκρι, αγροτικ, σφαγ, οντως, σφαγει, χωρ, αγροτεμαχι, αμπελουργικ, βιντζοτρατ, καταρροικ, οροτυπ, πυρετ, κληρονομ, κτηνιατρ, πληρωμ, αμπελοκαλλιεργει, ταυτοποιηθηκ, ενισχυς, αλιει, ος"
αραβανης ιωαννη γερασιμος,"τμηματ, εκφρασαμ, αξιολογικ, μονιμοτητ, παναγοπουλ, ιδρυς, πανεπιστημι, διευθυντ, μονιμοποιης, αναγκ, καινουρι, θητει, μπρισιμι, κριτηρι, μοναδ, φυλακ, 1000000, παντει, προβληματ, κριθ"
αραμπατζη αθανασιου φωτεινη,"1987, επαγγελματικ, 1948, ασφαλιστικ, επαγγελματι, γεννηθεντ, σαραντα, αγροτ, ενημεροτητ, ασφαλις, ογ, κτηνοτροφ, εισφορ, λογω, εργασι, ομαδ, ποιν, ισχυ, υποχρεως, εμποροπανηγυρ"
αραπη-καραγιαννη σωτηριου βασιλικη,"κεραι, γκυζ, συμφωνικ, κατοικη, ορχηστρ, απομακρυνθ, κατοικ, panafon, εγωενω, ενωνοντα, ηλεκτολογ, μαζωξ, τουσκεραι, τσακαλωφ, γνωριζω, αναμεταδοτ, ηλεκτρομαγνητικ, καθηγητρι, λευχαιμι, μηχανολογ"
αραπογλου ανεστη χρυση,"μεταναστ, μεταναστευτικ, στοιχει, βακτριαν, νομοθετικ, ζητηματ, αφορμ, μεριμν, χωρ, νακ, διαλογ, κατανοησουμ, αγγιζ, υπερηφαν, πολιτικ, περιπ, 2005, γενι, ανασκαπτ, βικτωρ"
αραπογλου διαμαντη δημητρα,"τεχνολογι, ερευν, κωφ, παραδειγμ, εκπαιδευς, περιβαλλον, μηχανημ, τελευται, υποστηριχθ, ελλαδ, ηλεκτρονικ, εισαγωγ, γενικ, ειδικευ, γνως, ενεργει, τροπ, καινοτομι, υπολογιστ, καυσιμ"
αραχωβιτης γεωργιου σταυρος,"ελαιοπαραγωγ, αγοραστικ, ελαιοκαλλιεργει, ελαιοκαλλιεργητ, εισοδημ, βρωσιμ, καυσων, ελαιοπαραγωγικ, μει, πς, ελι, ελαιολαδ, καταλαβαινετ, πιεζ, χογκ, περιμενουμ, 343, κορυφως, πασιφαν, συμπιεστ"
αρβανιτης-αβραμης κωνσταντινου μιχαηλ,"απαξιωνετα, φων, προδιδετα, επιχειρηματ, ετοποθετηθ, χωρ, πατριωτ, υβριστικ, απατεων, κλεφτ, προδοτ, γιακουματ, ανεβηκ, εκτενως, αποδειξω, πατριωτικ, υποφερ, ψυχ, λα, αγορητ"
αρβανιτιδης πετρου γεωργιος,"εισοδημ, ανακουφις, επενδυς, επενδυτ, ολοκληρως, χωρ, ενδιαμες, πλουτ, προγραμμ, δημιουργησουμ, πολιτ, επενδυτικ, εργ, παραγαγουμ, οικογεν, ελληνικ, πιστοποιη, διαγραφ, προγραμματ, αναπτυξ"
αρβανιτοπουλος παναγιωτη κωνσταντινος,"συμπληρωσω, τριτολογι, βγηκ, σχολι, καινουργι, ενταξ, υπουργικ, καμμι, αποφας"
αργυρης ιωαννη ευαγγελος,"παραγωγ, διεπαγγελματικ, οργανως, ελαιολαδ, αποφας, θεσμ, αγροτ, προιον, γεωργι, νε, πληρωμ, προιοντ, αποζημιως, προγραμμ, δικαιουχ, κοκκινουλ, δραχμ, πανωτοκι, εικοσι, αποδυναμωσουμ"
αρσενης διονυσιου γερασιμος,"εκπαιδευτικ, τραπεζ, ανωτατοποιης, εθνικ, σπουδ, εκπαιδευς, παιδει, πολιτικ, ανω, πανεπιστημι, 2083, επιπεδ, εκδοχ, ελλαδ, στατικ, οικονομικ, μεταρρυθμις, αγορ, ομολογ, μοναδ"
ασημακης παπαγεωργιου,"kwh, τιμολογι, καταναλως, ορι, πλεον, ειδικ, εκπτως, μεσοσταθμικ, 1500, δυνατοτητ, τεκν, τροποποιης, εισοδηματικ, ηλεκτρικ, ταυτοχρον, οπου, αυξηθηκ, εναλλακτικ, φυσικ, 4070"
ασημακοπουλου δημητριου σοφια-χαιδω,"γεννης, δημογραφικ, υπογεννητικοτητ, οικογενει, οικογεν, ανατροφ, ελληνικ, μητροτητ, στηριξ, αλλοιως, εθνικ, κρισιμ, ελλην, οικογενειακ, επιδομ, δεικτ, ελλαδ, γηγεν, εθνολογικ, κατακερματιζετ"
ασημακοπουλου παναγιωτη αννα-μισελ,"υποχρεως, επιθυμειτ, ξεκινω, επισημως, ενδιαφερ, αιτημ, απριλι, 20ης, esa, smp, βραχυμεσοπροθεσμ, εναπομεινας, δουλευω, μαθαινω, αποψιν, προυπολογιζετα, συμπληρωσετ, σχολιασετ, kαι, αναποδραστ"
αστεριος πιτσιορλας,"επιφυλαχθουμ, αποφας, ετοιμαζετα, επικοινωνης, οικονομικ, επανελθουμ, ασχολουντα, αναγκαστικ, πρω, αναστολ, χρειαστ, συνεννοης, ενημερως, νομοθετικ, συνολικ, χρειαζετα, δουμ, μαζ, υπαρξ, ρυθμις"
αστρακος αντωνιου ευαγγελος,"κυβερναμ, σαν"
αυγενακης κωνσταντινου ελευθεριος,"αθλητισμ, αθλητικ, ολυμπιονικ, ομοσπονδι, αγων, αθλητ, συνταξ, χειραγωγης, νε, πληγεντ, φιλαθλ, βι, προσυνεννο, αμες, προβληματ, γηπεδ, χωρ, πυροπληκτ, μεγαλ, ελληνικ"
αυδης βασιλειου λεωνιδας (λεων),"επεξεργασι, προσωπικ, στοιχει, προσωπικοτητ, ζω, προσωπ, ευαισθητ, στοιχ, δημοσιογραφι, καταγραφ, φακελ, απορρητ, δεδ, αρχ, πληροφορι, αρχει, συγκροτηματ, νομικ, δρας, προστασι"
αυλωνιτης νικολαου αλεξανδρος-χρηστος,"εφετ, εφετει, δικαστ, εισαγγελ, προεδρευ, ογδοντα, εβδομηντα, ις, συγχυζω, συμβουλευθω, τριακοσι, πανι, βαρκ, ιεραρχικ, παιδαριωδ, υποπτευομα, ατακ, υποβαλλω, αρχιζω, λεν"
αυλωνιτου βασιλειου ελενη,απαντησατ
αχμετ σαμπρη ιλχαν,"αρριαν, κινητικοτητ, δημ, γραφει, τακτικ, μελετητικ, ξεκαθαρ, προσληψ, μελετ, προσωπικ, προβλημ, λυθ, λυς, εργ, δεσμευς, κλεισατ, λιμναζ, οκταμην, site, προτιθεστ"
βαγενα-κηλαηδονη γεωργιου αννα,"μεταξουργει, παιζετα, τουριστ, προδοσι, ρημαγ, αθην, εσχατ, γειτονι, περπατηστ, εντιμ, εβγαλ, ποδι, γκετοποιης, κεραμεικ, φυγαν, κοσμ, γκετο, εκρηξ, ζω, σαν"
βαγιωνας κωνσταντινου γεωργιος,"θεσμ, λασπολογης, μαινταν, κουρελοχαρτ, υπεραρκετ, τηλεθεας, ευρισκ, διαφωνησω, επιγνως, καναλ, κοινοβουλι, γεματ, τειχ, τοποθετηθω, προσβαλλ, χρησιμοποιησω, προσκλης, αληθ, καναλι, συμβολ"
βαθειας κωνσταντινου ιωαννης,"εξαντλησαμ, εκτιμω, ικανοποι, ουτως, δωσατ, αναλυς, περιθωρι, κατοικ, απολυτ, απαραιτητ, περιοχ, ιδι"
βαινας βασιλειου ιωαννης,"εξυπηρετης, μεταφερθ, αυτοδιοικης, προτεινω, κεντρ, ανηκ, πολιτ, αντιμετωπιστηκ, κουβεντιας, απευθυνθω, διατηρ, μακεδονι, νομαρχιακ, δυτικ, αττικ, περιφερ, παροντ, λειτουργικ, αντιμετωπισουμ, τελειων"
βακη γεωργιου φωτεινη,"παστερ, ινστιτουτ, υγει, συμβας, ερευν, θεωρι, δημοσι, εποπτει, χωρ, ευρωζων, εμβολι, ελληνικ, νοσηματ, τζαβαρ, πολιτικ, θες, σπανι, ανακυκλωσιμ, κουτεντακ, ιδρυς"
βαλαβανη γεωργιου ολγα-ναντια,"αεροδρομι, πτης, αερομεταφορ, lufthansa, αρχ, ιδιωτικοποιης, brand, ιδιωτικ, ταιπεδ, name, slots, αεροπορι, συντονισμ, 2007, συνενων, δημοσι, eurobank, θυγατρικ, aegean, ελληνικ"
βαλβης-κατσιπης γεωργιου πετρος,"δηλωνω, δεσμευομα, απεναντι, πτωμ, αστραπ, ασκησω, ουραν, φοβατα, δηλ, συγκρους, αντιπροεδρ, ενστας, διωξ, εναντιον, ποινικ, εξ, ηρθ, καθαρ, παιδι, δικαιοσυν"
βαληνακης γεωργιου ιωαννης,"παρεκτροπ, θρακ, μειονοτικ, μειονοτητ, πολιτικ, τουρκικ, πολιτει, επιδιωκ, αυτοκλητ, ελληνικ, ακυρωνετα, προοδευ, καθημεριν, επιδεχετα, φοβικ, ευρωπαικ, σχεδιαστ, απτ, παρατηρουντα, πολλω"
βαλυρακης ιωαν. ιωσηφ,"αμφισβητω, γνωριζω, επισημανω, ερχετα, γεγονο, απλ, σωστ, τελευται"
βαρβαριγος αντωνιου δημητριος,"προμελετ, διαβας, λογι"
βαρβιτσιωτης ιωαννη μιλτιαδης,"καραβι, ακτοπλοι, διαφημις, μονοπωλι, επιστροφ, κουμαντ, ανταγωνισμ, ναυτιλι, νης, καραβ, ας, τηλεοπτικ, εφοπλιστ, καθεστω, προστιμ, μπορειτ, νησιωτ, εμπαιν, δρομολογης, ναυπηγει"
βαρβιτσιωτης μιλτιαδη ιωαννης,"μουσει, μυστρ, επαναφερατ, αεροπορι, αυτοπροστασι, αεροπορικ, στρατευς, αποψ, καταληξ, προτας, επιπολαι, αεροπλαν, περιβαλλοντ, ανακεκλημ, στρατευετα, ηλικι, ακουσθ, αποστρατευθηκ, ανακτορ, αναστηλως"
βαρδακης δημητριου σωκρατης,"παραπλαν, επιτελ, δουμ, λα, ελληνικ"
βαρδαλης δημητριου αθανασιος,"συγκλις, αιγιαλ, θαλασς, αναπτυξ, κκε, ζητηματ, αντιπαρατεθειτ, συνυποσχετικ, καταλαβαινετ, βηματ, ασιατικ, παιρνετα, υπηρετ, συμφωνουμ, διοδ, χαιροντα, ειπαμ, κατεβας, αρχισαμ, νομοθετειτ"
βαρδαρινος αθανασιου βασιλειος,"γεννηματ, αυτοδιοικης, νομαρχιακ, δημαρχ, τοπικ, υγει, λουλ, ομοφων, συμβουλι, παπαιωανν, απουσιαζ, πασοκ, δημοκρατι, εκαν, πηγ, δημ, εκατ, προτας, πας, προδιαγραφ"
βαρεμενος βασιλειου γεωργιος,"νοεμβρι, συριζα, γατ, μιλησετ, νε, παπαθεοδωρ, καταθεστ, 72, χατζηδακ, διαδικασι, 25, λοβερδ, ολοκληρωστ, 2017, δικαιοσυν, παρασκευ, συμφωνησουμ, φται, μαυρ, συγχωρειτ"
